Gene ID,Locus Tag,Gene Product Name,Genome ID,Genome Name,Batch1,DNA Sequence Length (bp),Amino Acid Sequence Length (aa),Scaffold ID,Scaffold External Accession,Scaffold Name,Scaffold Length (bp),Scaffold GC %,Scaffold Read Depth,COG,KO,Ecosystem,Ecosystem Category,Ecosystem Subtype,Ecosystem Type,Specific Ecosystem,Habitat,Nitrate Concentration,Oxygen Concentration,pH,Salinity
3300009689 assembled Ga0116186_100045143,Ga0116186_100045143,methyl-coenzyme M reductase alpha subunit,3300009689,Active sludge microbial communities of municipal wastewater-treating anaerobic digesters from Japan - AD_JPNNA4_MetaG (*) (MER-FS) (assembled),1,1713,571,Ga0116186_1000451,,Ga0116186_1000451,49541,0.59,14,"COG4058===Methyl coenzyme M reductase, alpha subunit===992.8",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],Engineered,Bioreactor,Digestate,Anaerobic,Unclassified,Anaerobic digestor sludge,,,,
3300024303 assembled Ga0257089_100990744,Ga0257089_100990744,methyl-coenzyme M reductase alpha subunit,3300024303,"Goat fecal pellet fungal communities from Santa Barbara, California, USA - pellet 3 Spades (v3) (version 3) (*) (MER-FS) (assembled)",1,1656,551,Ga0257089_10099074,,Ga0257089_10099074,3731,0.36,1,"COG4058===Methyl coenzyme M reductase, alpha subunit===1067.9",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],Host-associated,Mammals,Large intestine,Digestive system,Fecal,Goat feces,,,,
3300031999 assembled Ga0315274_105340911,Ga0315274_105340911,methyl-coenzyme M reductase alpha subunit,3300031999,"Sediment microbial communities from Yellowstone Lake, YNP, Wyoming, USA - YL17G02_20 (*) (MER-FS) (assembled)",1,1260,419,Ga0315274_10534091,,Ga0315274_10534091,1315,0.62,51,"COG4058===Methyl coenzyme M reductase, alpha subunit===748.3",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],Environmental,Aquatic,Lake,Freshwater,Sediment,sediment,,,,
3300027051 assembled Ga0209269_10041742,Ga0209269_10041742,methyl-coenzyme M reductase alpha subunit,3300027051,"Enrichment culture microbial communities from Arthur Kill intertidal strait, New Jersey, USA, that are MTBE-degrading - MTBE-AKM (Arthur Kill Methanogenic) MetaG (SPAdes) (version 2) (*) (MER-FS) (assembled)",1,1665,554,Ga0209269_1004174,,Ga0209269_1004174,5144,0.56,1063,"COG4058===Methyl coenzyme M reductase, alpha subunit===951.6",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],Environmental,Aquatic,Intertidal zone,Marine,Sediment,Enrichment culture,,,,
3300026179 assembled Ga0265406_100505011,Ga0265406_100505011,methyl-coenzyme M reductase alpha subunit,3300026179,"Activated sludge microbial communities from lab. scaled anaerobic digester in Belvaux, Luxembourg - ACS0-11 (*) (MER-FS) (assembled)",1,1704,567,Ga0265406_1005050,,Ga0265406_1005050,14289,0.55,1,"COG4058===Methyl coenzyme M reductase, alpha subunit===989.6",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],Engineered,Bioreactor,Unclassified,Anaerobic,Unclassified,activated sludge,,,,
3300039098 assembled Ga0238415_014960_215_1927,null,methyl-coenzyme M reductase alpha subunit,3300039098,"Marine sediment microbial communities from methane seep in Hydrate Ridge North, Pacific Ocean - 5579 (*) (MER-FS) (assembled)",1,1713,570,Ga0238415_014960,,Ga0238415_014960,3015,0.51,60,"COG4058===Methyl coenzyme M reductase, alpha subunit===760.6",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],Environmental,Aquatic,Cold seeps,Marine,Sediment,Marine sediment,,,,
3300016738 assembled Ga0183096_1000003642,Ga0183096_1000003642,methyl-coenzyme M reductase alpha subunit,3300016738,"Microbial communities from bioreactor (seeded with sewage sludge) at LBNL, California, USA - Biofuel metagenome 5 (version 2) (version 3) (*) (MER-FS) (assembled)",1,1656,551,Ga0183096_1000003,,Ga0183096_1000003,913699,0.4,2347,"COG4058===Methyl coenzyme M reductase, alpha subunit===1076.8",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],Engineered,Bioreactor,Unclassified,Anaerobic,Unclassified,Bioreactor,,,,
3300010277 assembled Ga0134093_10061663,Ga0134093_10061663,methyl-coenzyme M reductase alpha subunit,3300010277,"Switchgrass degrading microbial communities from high solid loading bioreactors in New Hampshire, USA - 4_13_20_68_A1 metaG (*) (MER-FS) (assembled)",1,1707,569,Ga0134093_1006166,,Ga0134093_1006166,6083,0.6,12,"COG4058===Methyl coenzyme M reductase, alpha subunit===992.6",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],Engineered,Bioreactor,Anaerobic,Semi-continuous,Digestate,Switchgrass degrading,,,,
3300012886 assembled Ga0160425_100031725,Ga0160425_100031725,methyl-coenzyme M reductase alpha subunit,3300012886,"Microbial communities from bioreactor (seeded with sewage sludge) at Lawrence Berkeley National Lab, California, USA - Biofuel Metagenome 8 (Illumina Assembly) (*) (MER-FS) (assembled)",1,1656,552,Ga0160425_1000317,,Ga0160425_1000317,75545,0.4,322,"COG4058===Methyl coenzyme M reductase, alpha subunit===1075.1",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],Engineered,Bioreactor,Unclassified,Anaerobic,Unclassified,Bioreactor,,,,
3300026160 assembled Ga0265420_1126731,Ga0265420_1126731,methyl-coenzyme M reductase alpha subunit,3300026160,"Activated sludge microbial communities from lab. scaled anaerobic digester in Belvaux, Luxembourg - ACS0-29 (*) (MER-FS) (assembled)",1,1302,433,Ga0265420_112673,,Ga0265420_112673,1682,0.61,1,"COG4058===Methyl coenzyme M reductase, alpha subunit===507.9",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],Engineered,Bioreactor,Unclassified,Anaerobic,Unclassified,activated sludge,,,,
3300038318 assembled Ga0134855_000005_245987_247645,null,methyl-coenzyme M reductase alpha subunit,3300038318,"Liquor fermentation pit mud microbial communities from Mianyang, China - Meta-8-1-20-B (*) (MER-FS) (assembled)",1,1659,552,Ga0134855_000005,,Ga0134855_000005,539690,0.55,42,"COG4058===Methyl coenzyme M reductase, alpha subunit===888.1",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],Engineered,Bioreactor,Unclassified,Unclassified,Unclassified,Fermentation pit mud,,,,
3300031994 assembled Ga0310691_100436244,Ga0310691_100436244,methyl-coenzyme M reductase alpha subunit,3300031994,"Sheep rumen microbial communities from Palmerston North, Manawatu-Wanganui, New Zealand - 1766 DNA GHGlow gp2 (v2) (version 2) (*) (MER-FS) (assembled)",1,1527,508,Ga0310691_10043624,,Ga0310691_10043624,4496,0.58,10,"COG4058===Methyl coenzyme M reductase, alpha subunit===842.9",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],Host-associated,Mammals,Stomach,Digestive system,Rumen,rumen,,,,
3300022188 assembled Ga0190313_10203152,Ga0190313_10203152,methyl-coenzyme M reductase alpha subunit,3300022188,"Hydrothermal vent sediment bacterial communities from Southern Trench, Guaymas Basin, Mexico - 4870-07-10-11_MG (*) (MER-FS) (assembled)",1,1335,445,Ga0190313_1020315,,Ga0190313_1020315,2197,0.53,40,"COG4058===Methyl coenzyme M reductase, alpha subunit===581.2",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],Environmental,Aquatic,Hydrothermal vents,Marine,Sediment,hydrothermal vent sediment,,,,
3300014498 assembled Ga0182019_100486631,Ga0182019_100486631,methyl-coenzyme M reductase alpha subunit,3300014498,"Permafrost microbial communities from Stordalen Mire, Sweden - 812E2M metaG (*) (MER-FS) (assembled)",1,1677,559,Ga0182019_10048663,,Ga0182019_10048663,2446,0.57,12,"COG4058===Methyl coenzyme M reductase, alpha subunit===994.7",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],Environmental,Terrestrial,Wetlands,Soil,Permafrost,Fen,,,,
3300009768 assembled Ga0116193_10043237,Ga0116193_10043237,methyl-coenzyme M reductase alpha subunit,3300009768,Active sludge microbial communities of municipal wastewater-treating anaerobic digesters from Hong Kong - AD_UKC115_MetaG (*) (MER-FS) (assembled),1,1704,568,Ga0116193_1004323,,Ga0116193_1004323,9904,0.47,14,"COG4058===Methyl coenzyme M reductase, alpha subunit===976.9",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],Engineered,Bioreactor,Digestate,Anaerobic,Unclassified,Anaerobic digestor sludge,,,,
3300029668 assembled Ga0245235_1026023,Ga0245235_1026023,methyl-coenzyme M reductase alpha subunit,3300029668,"Human fecal microbial communities from twins in the TwinsUK registry in London, United Kingdom - YSZC12003_36119 (*) (MER-FS) (assembled)",1,1656,551,Ga0245235_102602,,Ga0245235_102602,7828,0.35,7,"COG4058===Methyl coenzyme M reductase, alpha subunit===1037.7",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],Host-associated,Mammals: Human,Large intestine,Digestive system,Fecal,Human fecal,,,,
3300010381 assembled Ga0136547_1004085,Ga0136547_1004085,methyl-coenzyme M reductase alpha subunit,3300010381,"Methanogenic microbial communities from bioreactors in Yantai Institute of Oceanology, CAS, Yantai, China - reactor 2 (*) (MER-FS) (assembled)",1,1656,552,Ga0136547_100408,,Ga0136547_100408,18151,0.42,1,"COG4058===Methyl coenzyme M reductase, alpha subunit===1074.6",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],Engineered,Bioreactor,Marine sediment inoculum,Continuous culture,Unclassified,bioreactor,,,,
3300020814 assembled Ga0214088_11896281,Ga0214088_11896281,methyl-coenzyme M reductase alpha subunit,3300020814,"Granular sludge microbial community from anaerobic digester, University of Toronto, Ontario, Canada - UASBVu03_granules megahit (*) (MER-FS) (assembled)",1,1209,402,Ga0214088_1189628,,Ga0214088_1189628,1725,0.6,1,"COG4058===Methyl coenzyme M reductase, alpha subunit===311.6",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],Engineered,Bioreactor,Unclassified,Anaerobic,Unclassified,granular sludge,,,,
3300009676 assembled Ga0116187_10112464,Ga0116187_10112464,methyl-coenzyme M reductase alpha subunit,3300009676,Active sludge microbial communities of municipal wastewater-treating anaerobic digesters from Japan - AD_JPNNA6_MetaG (*) (MER-FS) (assembled),1,1230,410,Ga0116187_1011246,,Ga0116187_1011246,6352,0.55,91,"COG4058===Methyl coenzyme M reductase, alpha subunit===725.8",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],Engineered,Bioreactor,Digestate,Anaerobic,Unclassified,Anaerobic digestor sludge,,,,
3300031669 assembled Ga0307375_100054678,Ga0307375_100054678,methyl-coenzyme M reductase alpha subunit,3300031669,"Soil microbial communities from Risofladan, Vaasa, Finland - TR-1 (*) (MER-FS) (assembled)",1,1665,554,Ga0307375_10005467,,Ga0307375_10005467,11916,0.53,16,"COG4058===Methyl coenzyme M reductase, alpha subunit===954.3",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],Environmental,Terrestrial,Coastal area,Soil,Acid sulfate soil,soil,,,,
3300025306 assembled Ga0208045_10008097,Ga0208045_10008097,methyl-coenzyme M reductase alpha subunit,3300025306,"Freshwater microbial communities from Powell Lake, British Columbia, Canada to study Microbial Dark Matter (Phase II) - PL_2010_200m (SPAdes) (version 3) (*) (MER-FS) (assembled)",1,1689,562,Ga0208045_1000809,,Ga0208045_1000809,11034,0.53,18,"COG4058===Methyl coenzyme M reductase, alpha subunit===969.9",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],Environmental,Aquatic,Lake,Freshwater,Unclassified,freshwater,,,,
3300025891 assembled Ga0209585_100101335,Ga0209585_100101335,methyl-coenzyme M reductase alpha subunit,3300025891,"Arctic peat soil microbial communities from the Barrow Environmental Observatory site, Barrow, Alaska, USA - NGEE Permafrost154B-one (SPAdes) (version 2) (*) (MER-FS) (assembled)",1,1401,467,Ga0209585_10010133,,Ga0209585_10010133,3413,0.54,237,"COG4058===Methyl coenzyme M reductase, alpha subunit===819",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],Environmental,Terrestrial,Wetlands,Soil,Peat,Arctic peat soil,,,,
3300022243 assembled Ga0236238_10252772,Ga0236238_10252772,methyl-coenzyme M reductase alpha subunit,3300022243,"Activated sludge microbial communities from anaerobic bioreactor in Hunan University, Changsha, China - 2 (*) (MER-FS) (assembled)",1,1680,559,Ga0236238_1025277,,Ga0236238_1025277,2393,0.59,1,"COG4058===Methyl coenzyme M reductase, alpha subunit===939.3",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],Engineered,Bioreactor,Unclassified,Anaerobic,Unclassified,activated sludge,,,,
3300028167 assembled Ga0268285_10001552,Ga0268285_10001552,methyl-coenzyme M reductase alpha subunit,3300028167,"Saline water microbial communities from Sakinaw Lake, British Columbia, Canada - sak_2013_06_06_120m (*) (MER-FS) (assembled)",1,1713,570,Ga0268285_1000155,,Ga0268285_1000155,42691,0.56,16,"COG4058===Methyl coenzyme M reductase, alpha subunit===754.5",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],Environmental,Aquatic,Saline,Non-marine Saline and Alkaline,Unclassified,saline water,,,,
3300017931 assembled Ga0187877_10235502,Ga0187877_10235502,methyl-coenzyme M reductase alpha subunit,3300017931,"Peatland microbial communities from SPRUCE experiment site at the Marcell Experimental Forest, Minnesota, USA - June2016WEW_17_100 (*) (MER-FS) (assembled)",1,1668,555,Ga0187877_1023550,,Ga0187877_1023550,3251,0.52,6,"COG4058===Methyl coenzyme M reductase, alpha subunit===967",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],Environmental,Terrestrial,Wetlands,Soil,Peat,Peatland,,,,
3300026364 assembled Ga0247848_1000947,Ga0247848_1000947,methyl-coenzyme M reductase alpha subunit,3300026364,"Peat soil microbial communities from Stordalen Mire, Sweden - P.F.S.T50 (*) (MER-FS) (assembled)",1,1629,542,Ga0247848_100094,,Ga0247848_100094,11003,0.48,149,"COG4058===Methyl coenzyme M reductase, alpha subunit===978.6",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],Environmental,Terrestrial,Wetlands,Soil,Peat,soil,,,,
3300014301 assembled Ga0075323_10008724,Ga0075323_10008724,methyl-coenzyme M reductase alpha subunit,3300014301,"Natural and restored wetland microbial communities from the San Francisco Bay, California, USA, that impact long-term carbon sequestration - MayberryNW_TuleA_D1 (*) (MER-FS) (assembled)",1,1698,566,Ga0075323_1000872,,Ga0075323_1000872,3844,0.45,7,"COG4058===Methyl coenzyme M reductase, alpha subunit===897.9",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],Environmental,Terrestrial,Wetlands,Soil,Unclassified,Natural and restored wetlands,,,,
3300038805 assembled Ga0239563_032130_1307_3013,null,methyl-coenzyme M reductase alpha subunit,3300038805,"Sludge microbial communities from anaerobic digestion of cattle manure in bioreactor, Technical University of Denmark, Kongens Lyngby, Denmark - mesophilic pre H2 (*) (MER-FS) (assembled)",1,1707,568,Ga0239563_032130,,Ga0239563_032130,3365,0.61,55,"COG4058===Methyl coenzyme M reductase, alpha subunit===984.5",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],Engineered,Bioreactor,Unclassified,Anaerobic,Unclassified,sludge,,,,
3300021502 assembled Ga0190307_10031114,Ga0190307_10031114,methyl-coenzyme M reductase alpha subunit,3300021502,"Hydrothermal vent sediment bacterial communities from Southern Trench, Guaymas Basin, Mexico - 4870-07-4-5_MG (*) (MER-FS) (assembled)",1,1368,456,Ga0190307_1003111,,Ga0190307_1003111,4123,0.54,382,"COG4058===Methyl coenzyme M reductase, alpha subunit===654.7",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],Environmental,Aquatic,Hydrothermal vents,Marine,Sediment,hydrothermal vent sediment,,,,
3300021541 assembled Ga0214529_1001738,Ga0214529_1001738,methyl-coenzyme M reductase alpha subunit,3300021541,"Enriched fungal communities from goat fecal pellet, Isla Vista, California, United States - Xylan, Gen10, Rep 3, Penicillin and Streptomycin (*) (MER-FS) (assembled)",1,1656,551,Ga0214529_10017,,Ga0214529_10017,87480,0.34,230,"COG4058===Methyl coenzyme M reductase, alpha subunit===1040.2",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],Host-associated,Mammals,Large intestine,Digestive system,Fecal,Goat feces,,,,
3300022860 assembled Ga0222698_10110571,Ga0222698_10110571,methyl-coenzyme M reductase alpha subunit,3300022860,"Saline water microbial communities from Ace Lake, Antarctica - #1450 (*) (MER-FS) (assembled)",1,1230,409,Ga0222698_1011057,,Ga0222698_1011057,2055,0.52,8,"COG4058===Methyl coenzyme M reductase, alpha subunit===714.8",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],Environmental,Aquatic,Saline,Non-marine Saline and Alkaline,Unclassified,saline water,,,,
3300038335 assembled Ga0246096_00014_115853_117538,null,methyl-coenzyme M reductase alpha subunit,3300038335,"Groundwater microbial communities from Horonobe Underground Research Laboratory (URL), Japan - horonobe_ig2103 (*) (MER-FS) (assembled)",1,1686,561,Ga0246096_00014,,Ga0246096_00014,548640,0.52,18,"COG4058===Methyl coenzyme M reductase, alpha subunit===987.8",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],Environmental,Aquatic,Groundwater,Freshwater,Unclassified,Groundwater,,,,
3300019375 assembled Ga0187898_10015238,Ga0187898_10015238,methyl-coenzyme M reductase alpha subunit,3300019375,"Goat fecal pellet enrichment culture fungal communities from Isla Vista, California, USA - Alfalfa, Gen0, Rep 1, Penicillin and Streptomycin (*) (MER-FS) (assembled)",1,1656,551,Ga0187898_1001523,,Ga0187898_1001523,12518,0.32,113,"COG4058===Methyl coenzyme M reductase, alpha subunit===1067.5",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],Host-associated,Mammals,Large intestine,Digestive system,Fecal,Goat feces,,,,
3300009778 assembled Ga0116151_100093907,Ga0116151_100093907,methyl-coenzyme M reductase alpha subunit,3300009778,Active sludge microbial communities of municipal wastewater-treating anaerobic digesters from Hong Kong - AD_UKC117_MetaG (*) (MER-FS) (assembled),1,1707,569,Ga0116151_10009390,,Ga0116151_10009390,8022,0.56,13,"COG4058===Methyl coenzyme M reductase, alpha subunit===972.3",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],Engineered,Bioreactor,Digestate,Anaerobic,Unclassified,Anaerobic digestor sludge,,,,
3300038651 assembled Ga0246687_003277_3969_5276,null,methyl-coenzyme M reductase alpha subunit,3300038651,"Activated sludge microbial communities from anaerobic digester at WWTP in Viborg, Denmark - SA-RHK-529 (*) (MER-FS) (assembled)",1,1308,435,Ga0246687_003277,,Ga0246687_003277,5276,0.55,38,"COG4058===Methyl coenzyme M reductase, alpha subunit===811.3",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],Engineered,Wastewater,Unclassified,Activated Sludge,Unclassified,Activated sludge,,,,
3300025657 assembled Ga0208823_10603261,Ga0208823_10603261,methyl-coenzyme M reductase alpha subunit,3300025657,Active sludge microbial communities of municipal wastewater-treating anaerobic digesters from USA - AD_UKC075_MetaG (SPAdes) (version 2) (*) (MER-FS) (assembled),1,1344,448,Ga0208823_1060326,,Ga0208823_1060326,1347,0.63,120,"COG4058===Methyl coenzyme M reductase, alpha subunit===823.3",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],Engineered,Bioreactor,Digestate,Anaerobic,Unclassified,Anaerobic digestor sludge,,,,
3300009714 assembled Ga0116189_100002497,Ga0116189_100002497,methyl-coenzyme M reductase alpha subunit,3300009714,Active sludge microbial communities of municipal wastewater-treating anaerobic digesters from Japan - AD_JPNTR3_MetaG (*) (MER-FS) (assembled),1,1662,554,Ga0116189_1000024,,Ga0116189_1000024,168591,0.34,20,"COG4058===Methyl coenzyme M reductase, alpha subunit===943.4",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],Engineered,Bioreactor,Digestate,Anaerobic,Unclassified,Anaerobic digestor sludge,,,,
3300022235 assembled Ga0236245_10014605,Ga0236245_10014605,methyl-coenzyme M reductase alpha subunit,3300022235,"Activated sludge microbial communities from anaerobic bioreactor in Hunan University, Changsha, China - 9 (*) (MER-FS) (assembled)",1,1662,553,Ga0236245_1001460,,Ga0236245_1001460,12640,0.5,1,"COG4058===Methyl coenzyme M reductase, alpha subunit===1158.5",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],Engineered,Bioreactor,Unclassified,Anaerobic,Unclassified,activated sludge,,,,
3300025443 assembled Ga0208081_10000181,Ga0208081_10000181,methyl-coenzyme M reductase alpha subunit,3300025443,"Arctic peat soil microbial communities from Barrow, Alaska - NGEE Surface sample 415-1 shallow-092012 (SPAdes) (*) (MER-FS) (assembled)",1,1677,558,Ga0208081_1000018,,Ga0208081_1000018,38060,0.48,38,"COG4058===Methyl coenzyme M reductase, alpha subunit===984.3",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],Environmental,Terrestrial,Wetlands,Soil,Peat,Arctic peat soil,,,,
3300033463 assembled Ga0310690_1001717513,Ga0310690_1001717513,methyl-coenzyme M reductase alpha subunit,3300033463,"Bovine rumen microbial communities from tropical cattle in Woodstock, Queensland, Australia - Gonzalo_04 (v2) (version 2) (*) (MER-FS) (assembled)",1,1530,509,Ga0310690_10017175,,Ga0310690_10017175,8645,0.49,83,"COG4058===Methyl coenzyme M reductase, alpha subunit===933.2",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],Host-associated,Mammals,Stomach,Digestive system,Rumen,rumen,,,,
3300039154 assembled Ga0245640_002819_3828_5483,null,methyl-coenzyme M reductase alpha subunit,3300039154,"Wastewater microbial communities from Conventional dairy farm in Colorado, USA - WW32 (*) (MER-FS) (assembled)",1,1656,552,Ga0245640_002819,,Ga0245640_002819,5484,0.5,15,"COG4058===Methyl coenzyme M reductase, alpha subunit===958.8",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],Engineered,Wastewater,Unclassified,Industrial wastewater,Unclassified,Wastewater,,,,
3300014206 assembled Ga0172377_100635814,Ga0172377_100635814,methyl-coenzyme M reductase alpha subunit,3300014206,"Leachate microbial communities from a municipal landfill in Southern Ontario, Canada - Pumphouse #3 metaG (*) (MER-FS) (assembled)",1,1707,569,Ga0172377_10063581,,Ga0172377_10063581,3454,0.59,9,"COG4058===Methyl coenzyme M reductase, alpha subunit===973.4",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],Engineered,Solid waste,Unclassified,Landfill,Unclassified,landfill leachate,,,,
3300020109 assembled Ga0194112_100466913,Ga0194112_100466913,methyl-coenzyme M reductase alpha subunit,3300020109,"Freshwater microbial communities from Lake Tanganyika, Tanzania - TA2015016 Mahale Deep Cast 400m (*) (MER-FS) (assembled)",1,1659,552,Ga0194112_10046691,,Ga0194112_10046691,4376,0.6,9,"COG4058===Methyl coenzyme M reductase, alpha subunit===987.6",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],Environmental,Aquatic,Lake,Freshwater,Unclassified,freshwater lake,,,,
3300027958 assembled Ga0209749_100031958,Ga0209749_100031958,methyl-coenzyme M reductase alpha subunit,3300027958,"Bioremediated contaminated groundwater from EPA Superfund site, New Mexico - Sample SAE3-47 (SPAdes) (version 2) (*) (MER-FS) (assembled)",1,1680,559,Ga0209749_1000319,,Ga0209749_1000319,73095,0.53,19,"COG4058===Methyl coenzyme M reductase, alpha subunit===938.4",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],Environmental,Aquatic,Groundwater,Deep subsurface,Contaminated,Bioremediated contaminated groundwater,,,,
3300035643 assembled Ga0314860_0211745_3_1565,Ga0314860_20740,methyl-coenzyme M reductase alpha subunit,3300035643,"Tropical peat soil microbial communities from peatlands in Loreto, Peru - QUI85 (*) (MER-FS) (assembled)",1,1563,521,Ga0314860_0211745,,Ga0314860_0211745,1565,0.58,16,"COG4058===Methyl coenzyme M reductase, alpha subunit===940.3",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],Environmental,Terrestrial,Wetlands,Soil,Unclassified,peatland,,,,
3300030446 assembled Ga0169454_1029459,Ga0169454_1029459,methyl-coenzyme M reductase alpha subunit,3300030446,"Synthetic microbial communities for library methods comparison from University of Liverpool, United Kingdom - Mg63 (*) (MER-FS) (assembled)",1,1662,553,Ga0169454_102945,,Ga0169454_102945,11698,0.37,54,"COG4058===Methyl coenzyme M reductase, alpha subunit===1166",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],Engineered,Modeled,Unclassified,Simulated communities (microbial mixture),Unclassified,Synthetic,,,,
3300038365 assembled Ga0134850_000025_19962_21617,null,methyl-coenzyme M reductase alpha subunit,3300038365,"Liquor fermentation pit mud microbial communities from Luzhou, China - Meta-6-2-50-M (*) (MER-FS) (assembled)",1,1656,551,Ga0134850_000025,,Ga0134850_000025,185019,0.38,63,"COG4058===Methyl coenzyme M reductase, alpha subunit===1113.6",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],Engineered,Bioreactor,Unclassified,Unclassified,Unclassified,Fermentation pit mud,,,,
3300035338 assembled Ga0119852_00537_8231_9943,Ga0119852_32080,methyl-coenzyme M reductase alpha subunit,3300035338,Bioreactor microbial communities from dechlorination culture samples - Genome Institute of Singapore - CG1-PCB (*) (MER-FS) (assembled),1,1713,570,Ga0119852_00537,,Ga0119852_00537,22365,0.45,29,"COG4058===Methyl coenzyme M reductase, alpha subunit===1066.5",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],Engineered,Bioreactor,Unclassified,Unclassified,Unclassified,Bioreactor,,,,
3300028622 assembled Ga0302253_10063862,Ga0302253_10063862,methyl-coenzyme M reductase alpha subunit,3300028622,"Enriched activated sludge microbial communities from anaerobic digester in WTTP, New Holstein, Wisconsin, United States - AAG_RA_Trp (*) (MER-FS) (assembled)",1,1689,562,Ga0302253_1006386,,Ga0302253_1006386,4178,0.57,10,"COG4058===Methyl coenzyme M reductase, alpha subunit===986.5",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],Engineered,Bioreactor,Digestate,Anaerobic,Unclassified,activated sludge,,,,
3300028602 assembled Ga0265294_100097902,Ga0265294_100097902,methyl-coenzyme M reductase alpha subunit,3300028602,"Groundwater microbial communities from a municipal landfill in Southern Ontario, Canada - Pumphouse #3 (*) (MER-FS) (assembled)",1,1665,554,Ga0265294_10009790,,Ga0265294_10009790,10994,0.44,32,"COG4058===Methyl coenzyme M reductase, alpha subunit===891.2",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],Environmental,Aquatic,Groundwater,Deep subsurface,Unclassified,groundwater,,,,
